 ;FR;PA80;swo;gyeli;bekwel;bekol;konzime;makaa;mpiemo;kwasio;njem;shiwa;BC (BLR3);Reconstr. Régionales (BLR 3);Reconstr. Mougiama, Hombert;;Mots que je pourrai ajouter;;
36. ;ananas ;°ɟàŋa ? (emprunt);ì-káʔáyàŋ / bìkáʔáyàŋ;;ɲàŋà / ìɲàŋà ;kájàŋ / kájàŋ ; ;kájàŋə́ ; ;ɟanɡa / maɟanɡa ; ; ; ; ; ;;adultère;bwàndyá / bebwàndyá ~ mbwàmɔ̀ / mimbwàmɔ̀;
37. ;âne ;°ɟàkâs ? (emprunt);ì-ɟàkás / bì-ɟàkás;; ;ɟàkâz / bèɟàkâz ;ɟàkâh / bìɟàkâh ; ; ;ɟakas / biɟakas ; ; ; ; ; ;;guêpe ?;le-dèlɛ́mɔ́ɔ̀ / ma-dèlɛ́mɔ́ɔ;
38. ;animal ;°tídV;tsə́ɾə̀ / bə̀tsə́ɾə̀;tsídí / batsídí;tít / bɛ̀tít ;tíd / bòtíd ;tír / òtír ; ;tīrī ;tsir / bɔtsir ;tír ;tsírí / bə̀tsírí;*títʊ́ ; ; ;swo et gyeli : aussi 'viande';vision, apparition;ma-dígà;
39. ;année ;°bû ;m̀-bvə̀ / mìmbvə̀;m-bvû / mimbvû;mbû / mìmbû ;mbû / mèmbû ;mbû / mìmbû ;m-bû / mìmbû ; ;m-vu / mimvu ;mbû ;ǹ-ɡbə́ ; ;*bú (ABCHL) ; ;;bol, contenant;dísì / be-dísì;
40. ;annonce ;°túndÁ ;;;túd / mìtúd ; ;túnó / mìtúnó ;cúndə́ / mìcúndə́ ;tūndɔ̄ ; ;túnó ; ; ; ; ;;cher;díyɛ̀;
41. ;annoncer ;°túndÁ ;;;ɛ̀-túd ; ;è-túnò ; ; ; ;lè-túnô ; ; ; ; ;;mensonge;dó / be-dó;
42. ;anomalure ;°(N-)ɡù;;;gù / bɛ̀g̥ù; ;nkù / ònkù ; ; ; ;nkǔ ; ; ; ;°-ɡui ;;négociation;ma-dɔ̀;
43. ;appel ;°ɟV́blV̀ ;ŋ̀-ɡvwúā / mìŋɡvwúā;n-gyíbâ / mingyíbâ;nɟól / mìnɟól ; ;nɟɩ́blɩ́ / mìnɟɩ́blɩ́ ;n-ɟúúlú / mìnɟúúlú ; ; ;n-ɟɩ́blɩ́; ; ; ; ;;négocier;dɔ̀;
44. ;appeler ;°ɟV́bà ;ɡvwúə̄;gyíbɔ ;ɛ̀-ɟóò ;ɟáb ;è-ɟébè ;ɟôw ; ;ɡiɔ ;lè-ɟjêb ;ɟɥâ ; ; ; ;;transpiration;be-dówó;
45. ;apprendre ;°ɟéKÌ ;ɡíɡì / ɟíɡà;gyíkɛ ;ɛ̀-ɟêk ;ɟîɡ ;è-ɟɩ̂ʔ ;ɟíɡə̀lì;à-ɟēɡì ;ɡiɡ ;lè-ɟwɩ̂ʔ; ;*jɩ́ɡ ; ; ;;hérisson;dúngìlà / bedúngìlà;
46. ;approcher ;°sísàlÀ ;;sḭ́ḭ̀ / sísɔ; ;sîlɔ̀ ;è-sîhlè ;sə̀sàl; ; ;lè-síhlô ; ; ; ; ;mot en gyeli montre qu'il y avait une nasale;baobab;dvúmɔ̀ / bedvúmɔ̀;
47. ;arachide ;°wòndò ;ì-wòndù / bìwòndù;wùndɛ̀ / bewùndɛ̀;wòndò / ìwòndò ;wùnd / bèwùnd ;wʊ̀nʊ̀ / bìwʊ̀nʊ̀ ;wùnd / ìwùnd ; ;wundɛ / biwundɛ ;wʊ̀nʊ̀ ; ; ; ; ;;distance, longueur;dyà ;
48. ;araignée ;°bùbV ;bòʔó (ɟìmbə̀) / màbòʔó máɟìmbə̀;;náàbùbɛ́lɛ̀/ bɛ̀náàbùbɛ́lɛ̀ ;lè-bùb / məb̀ ùb ;è-bʊ́bʊ̀ʊ́ / mèbʊ́bʊ̀ʊ́ ;bwìjə̀ / mə̀bwìjə̀; ;ndʰɛnbur / bɔndʰɛnbur ;lè-bʊ́bʊ̀ʊ́;tàndíbùbùrá / bìntàndíbùbùrá ;*bʊ̀bɩ̀; ; ;;incliner, appuyer qqc;dyɛ́kɛ ;
49. ;arbalète ;°(N-)bànV̀ ;m̀-pàn / mìmpàn;;b̥àn / ìb̥àn ; ;mpàn / mìmpàn ;mpààn / ìmpààn ;mpànɔ̀ ;mbʰandi / mambʰandi ; ; ; ;*bànò (AC) ; ;;être chaud;dyṵ̀;
50. ;arbre ;°lé ;ì-lí / bìlí;lé / belé;lé / ìlé ;lé / mèlé ;lí / bìlɩ́ ;lé / ìlé ;lē ;lí / bilí ;lɩ́ ;lí / bìlí ;*tɩ́ ; ; ;;guérir;dyùmɔ ;
51. ;arbre moabi ;°ɟɔ̀V̀  ;ì-ɟùɔ̀ / bìɟùɔ̀;;ì-ɟɔ̀w; ;ò-ɟɔ̀ɔ̀;ɟù / mə̀ɟù; ; ;ɩ̀-ɟɔ̀ɔ̀; ; ; ; ;;excuser, pardonner;"dzámɛ ; gyìdɛ";
52. ;arbre sp 1 ;°dùmbà ;;;dúm / ìdúm ;d-úmɔ́ / múmɔ́ ;d-úmó / múmó ; ;dùbɔ̀ ; ; ; ; ; ; ;;cour intérieure;dɛ́ndì / mɛ́ndì;'village' en swo !
53. ;arbre sp 2 ;°sɔ́mbÓ ;;; ; ;ò-sɔ́m ;sómbú / mə̀sómbú; ; ;swɔ́m; ; ; ; ;;gaz, fuel;èsâ̰s / bèsâ̰s;
54. ;arc ;°ɡàlá ;ŋ̀-ɡálì / màŋɡálì;;n-ɡɛ̀lɛ́ / mìnɡɛ̀lɛ́ ; ;n-ɡàlá / mìnɡàlá ; ; ; ;n-ɡàlá ; ; ; ; ;;rater, esquiver;"fùlɛ ; tùndɛ";
55. ;arc-en-ciel ;°(N-)dìmbà ;ǹ-dvúndvùmbə̄ / mìndvúndvùmbə̄;;d̥ìwà / ìd̥ìwà ; ; ;n-ɟùmbú / mìnɟùmbú; ; ;n-tìbà ; ; ; ; ;;orange;fùmbí / befùmbí;
56. ;argent 1 (emprunt anɡlais);;mwòné / bə̀mwòné;mɔ̀nɛ́ / bamɔ̀nɛ́; ; ;mɔ̀nɩ́ / bìmɔ̀nɩ́ ; ;mjéná ;mɔ̂n / bɔmɔ̂n;mɔ̀nɩ́; ; ; ; ;;pagne;gwɛ́mbɛ̀ / begwɛ́mbɛ̀;
57. ;argent 2 ;°ɟaŋa;;;mjàŋà ; ; ;ɟánà / mjánà ; ; ; ;mjáŋá; ; ; ;;être long;gyà;
58. ;argile 1 ;°ɟɛ̀Ká ;déʔə̄;; ;jàɡ ; ;jàɡə́ / ìjàɡə́;wjɛ̀ɡɔ̄ ; ; ; ; ;*jɩ̀ɡá (AC) ; ;;lèvre;gyá yá nyúmbù / begyá bé nyúmbù;
59. ;argile 2 ;°kòna ;;;ɛ̀-kwòn / mɛ̀kwòn ; ; ; ; ;kuna ;le-kwon ; ; ; ; ;;étranger, invité;gyɛ̰̂ / bagyɛ̰̂;
60. ;arracher 1 ;°dáKÌ ;;;ɛ̀-dɛ̂k ; ;è-dɛ̂ʔ ;dɛ́ɛ́ɡ;à-ɗāɡī ; ; ; ; ; ; ;;prière;magyɛ̀’ɛ̀lɛ̀;
61. ;arracher 2 ;°tê ;té;tɛ̀ndɔ; ; ;è-tɩ̂ ;tî ;à-tê ; ;lè-tɩ̂ ; ; ; ; ;;habitude;gyɛ́mɔ̀ / begyɛ́mɔ̀;
62. ;arranger ;°kɔ̀mbàlà ;kùmbə̀lə̀;kùmbɔ;ɛ̀-kòbàl ;kwòmbèlá ;è-kòmlò ; ; ;kumbɔ ;lè-kwòmlò ;kúmbə̀ ; ; ; ;gyeli kùmbala = recip.;redresser / lisser;kɔ́gɛ;"'straighten' ; ambigu"
63. ;arriver ;°kùmà ;;;ɛ̀-kùm ;kùmà ;è-kùmò ; ; ; ;lè-kùmò ; ; ; ; ;;affûter/aiguiser;gyìbɔ ;
64. ;articulation ;°bɔ̀ŋ(à) ;mbwàŋ / màmbwàŋ;; ;bwàŋ / mèbwàŋ ;è-bʊ̀á / mèbʊ̀á ; ; ; ;lè-bùó ; ; ; ; ;;réveiller TR;gyímɛ ;
65. ;assiette ;°sÚwá ;ì-ʃówà / bìʃówà;;súwá ;ʃúwá / bèʃúwá ;sʊ́á / bìsʊ́á ;ʃúwá / ìʃúwá ; ; ; ; ; ; ; ;;être en colère;jíga ;
66. ;assis ;°dilI ;dzìlə̀;jì(yɔ) (sí);ndíndìl ;ndíl ;ndîndǐl / mìndîndǐl ;nɟínɟìlî ;dídílì ; ;ndîndǐl ;dzìndzíndzílì; ;*dìad (ABCD); ;;"poids ; dignité";lejìlɔ̀ / majìlɔ̀;
67. ;asticot ;°lúmá ;ì-lúmà / bìlúmà;lvúmɔ́ / belvúmɔ́;lúm / ìlúm ;lúmɔ́ ;lúmó / bìlúmó ; ; ;vuma / bivuma ;lúmó ; ; ; ; ;gyeli : remarquer la spirantisation du /l/;plonger;jìna ;
68. ;attacher 1 ;°kâK ;;káKà; ;kâɡ ;è-kâʔ ; ; ;kaˤ ;lè-kâʔ ; ; ; ; ;gyeli : 'roll up';chaise/siège;jìyɔ́ / bejìyɔ́;
69. ;attacher 2 ;°tìŋàlà ;tsə̀ŋɡə̀lə̀;tsḭ́ɛlɛ;ɛ̀-tìŋàl ; ; ; ;à-tīɔ̀ŋ;tsaŋlɛ ; ;tsóŋlà; ; ; ;gyeli : remarquer que la consonne nasale n'est pas là même si elle n'est pas le dernier son du mot;attrapper;kà;
70. ;attendre ;°bóndà ;búndə̀;bwɛ̰́ɛ̰̀lɛ;ɛ̀-bwôd ;bwáánd ;è-bónò ;bwánd ;à-ɓōndɔ̀ ; ;lè-bwôn ;búndá ; ; ; ;;rouler;ká’à ;p.ex. Matelas, papier, enveloppe, pansement
71. ;attraper ;°ɟà ;ɟà;; ; ;è-ɟà ;ɟà ; ;ɥaˤ ;lè-ɟà ; ; ; ; ;;tribu;lekà’á / makà’á;
72. ;au milieu ;°témà ;tétémà;títímɔ́ / betítímɔ́; ;tám ;témé ;tâm ; ;tima ;tjém ;tímà (tímá ídúɔ̀);*tɩ́ ? ; ; ;;kaba (emprunt);kàbà / bekàbà;
73. ;aujourd'hui ;°úsì ;móò;;mwûs ;mùùz ;mûh ; ; ; ;mûh ;ɔ́-mwì;*jícɩ́ ?  ; ; ;;partager, diviser;kàbɔ ;
74. ;aulacode ;°(N-)ɡómbá ;;;ʒɛ́g̥wób / ìʒɛ́g̥wób; ;pánkómó / bìpánkómó ; ; ;(pfula) nɡumbɔ / bipfula nɡumbɔ ;pánkwóm; ; ;*ɡʊ̀mbá (ABCH) ; ;;cacao (emprunt);kàká / bekàká;
75. ;autre ;°sís(V̀) ;;fúsì ; ;sís ;swîh ; ; ; ;swîh ; ; ; ; ;;beignet;lekàlà / makàlà;
76. ;aval ;°cìV̀ ;;n-kɛ̀ / minkɛ̀;cɛ̀ (díí) ; ;è-cìè / mècìè ; ;cīɛ̀ ; ;cìò ; ; ; ; ;;livre;kálàdɛ̀ / bekálàdɛ̀;
77. ;avaler ;°mìnà ;mìnə̀;mìnò;ɛ̀-mìn ;mìnɔ̀ ;è-mìnè ;mìnə̀ ;à-mìnɔ̀ ;mina ;lè-mìnò ;mínə̀ ;*mìn ; ; ;;se déplacer en s'arrêtant;kàlɛga;
78. ;avec ;°nà ;nə̀;nà;nɛ̀ ;nò ; ;(nə́) wúmbə́lə́;nɛ̀ ;na ;nè ; ;*nà ; ; ;;craquer;kánda ;p.ex. Bouteille, verre
79. ;aveugle ;°(a)dímÌ ;n-dzímdzîm;n-jímí / banjímí;(náà) ì-d̥ìm / bɛ̀náàìd̥ìm ;tîtìm / mètîtìm ;ántím / bàántím ;àncímncîm / wàncímncîm ;ntīmī ;n-dzi / bɔdzim ;àntím ; ; ; ; ;swo et gyeli = personne aveugle;pont;kàsà / bekàsà;
80. ;avocat ;°píjà ;píyə̀ / bə̀píyə̀;péè / bepéè; ;fíjò ;pjɔ́ɔ̀ / bìpjɔ́ɔ̀ ;fjâ / ìfjâ ; ;pii / bipii ;fjɔ́ɔ̀; ; ; ; ;;raser;kḛ̀;
81. ;bagarre ;°tÚmbà ;ì-və̀mbà / bìvə̀mbà;n-lvúmâ / minlvúmâ;tûb / ìtùb ;ntwòmb / bèntwòmb ;tɔ̀m / bìtɔ̀m ;cwòmb / ìcwòmb ;tùmbɔ̀ ; ;tòm ; ; ; ;*tùmbà ;;partir vite, courir;kɛ̀ mpfúndɔ́;
82. ;bague ;°lÒndá ;;lɔ̀ndɔ́ / belɔ̀ndɔ́; ; ;lɔ̀ná / mìlɔ̀ná ;lwòndó / mə̀lwòndó; ;lɔndɔ / bilɔndɔ ;loná ; ; ; ; ;;pendre;kɛ̀lɛ ;
83. ;bailler ;°máma ;(sá) ímə́máʔ;nyɔ́nyɔ̰̂ / benyɔ́nyɔ̰̂;mámâ ;mə̀mâ ; ;mə́mà / ìmə́mà; ; ; ; ; ; ; ;;hibou;lekfṵ̀ / makfṵ̀;
84. ;baisser ;°sɛ̀lÌ ;ʃùlì;; ; ;è-sùl ;sə̀l;à-ʃɛ̀lì;silsi ; ; ; ; ; ;;provoquer;kfùbɛ ;
85. ;balafon ;°(N-)ɟàŋ ;ŋɟâŋ / màŋɟâŋ;;ɛ̀-ɟ̥áŋál / mɛ̀ɟ̥áŋál;lè-ncáŋ / mə̀ncáŋ ;mè-nɟáŋ ;ncáɲ / mə̀ncáɲ; ;ma-ndzaŋ ; ; ; ; ; ;;étourdi, idiot;"lekfúdɛ̀ / makfúdɛ̀ ~ yɛ̃
̀yɛ̃̀ yá m-ùdì";
86. ;balai ;°kwánɟV̀;kyáŋɡì / màkyáŋɡì;;ɛ̀-kɥɛ̂z / mɛ̀kɥɛ̂z ;è-cɔ̂nɟ / mòcɔ̂cnɟ ;è-kpɛ̂h / mèkpɛ̂h ;cónz / mə̀cónz;à-kwānɟī ; ;lè-kwɛ̂h; ; ; ; ;;déchet;lekfùndɛ̀ / makfùndɛ̀;
87. ;balayer ;°ɡwámbàlà ;wámbə̀lə̀;wómbɛlɛ;ɛ̀-wábàl ;wâmbə̀lɔ̀;è-ɡwámlè ;wáámbə̀lə̀; ;wamlɛ ;lè-ɡwámlô ;wámbàlà ; ;*kómbʊd (ABC)  ; ;;sel;makímbɔ́;
88. ;bambou ;°ɟɛ̀ŋá ;ì-mbàŋɟə̀ /bìmbàŋɟə̀;mpàndyè / bempàndyè; ;nɟìɲɛ́ / mènɟìɲɛ́ ;nɟɩ̀á / mìnɟɩ̀á;n-ɟɛ̀ɛ́ / mìnɟɛ̀ɛ́;nɟɛ̌ŋ; ; ; ; ; ; ;;albinos;kòkù / bekòkù;
89. ;bambou, flèche ;°bànɟá ;ì-mbàŋɟə̀ /bìmbàŋɟə̀;mpànyè / bempànyè;bàzáb̥àn / b̥àzá b̥àn ;mpànɟ ;bàh / mpàh ; ;ɓànɟɔ̀ ;m-bʰɔa / mimbʰɔa ;bàhà ; ; ;*bànjɩ́ (ABCH) ; ;;ceuiller;kɔ̂;'gather, pluck, pick'
90. ;banane douce ;°tɔ̀Tà ;;le-njù / manjù;ɛ̀-tɔ̀tò / mɛ̀tɔ̀tò ; ;è-tɔ̀rà / mètɔ̀rà ; ; ; ; ;tòrà / mə̀tòrà; ; ; ;Possible de faire un cognat avec swo et gyeli;tourner (dans l'autre sens);kɔ́dɛ;gyeli : '(with vehicle)'
91. ;banane plantain ;°kɔ̀ndV̀ ;ì-kwàndə̀ / bìkwàndə̀;kwàndɔ̀ / bekwàndɔ̀;kɔ̀d / ìkɔ̀d;kwànd / bèkwànd ; ; ;kɔ̀ndɔ̀; ;kwɔ̀n;kwàndə̀ / bìkwàndə̀;*kòndè ; ; ;;café (emprunt);kɔ̀fí / bekɔ̀fí;
92. ;banc (emprunt français) ;;;; ; ;bâŋ / bìbâŋ ;bwànɡə́lə́ / ìbwànɡə́lə́; ;bɛnɡi / bɔbɛnɡi ; ; ; ; ; ;;crâne;kɔ́kɔ́ yá nlô / bekɔ́kɔ́ bé mí-nlô;
93. ;bander ;°ɟɛ̀l ;ɟàlè;;ɛ̀-ɟɛ̀l; ;è-ɟjɛ̀l ; ; ; ;lè-ɟɛ̀l; ; ; ; ;;moquer;kúɛlɛ;
94. ;barbe ;°(N-)ɟɛ̀lÌ ;zə̀lə̀;n-zɛ̀lɛ̀ / benzɛ̀lɛ̀;zèl / mɛ̀zèl ;ncə̀l (fwɛ́n);nzjèl / mènzjèl ; ;ncɛ̀lì;ndzɛl / bindzɛl ; ;ǹ-ʃə́lì / bìnʃə́lì;*jèdù ; ; ;;répandre;kùga ~ wàwɛ;
95. ;barrage ;°mɛ́K(a) ;myə̀ʔə́ / bə̀myə̀ʔə́;mwɛ́ / mimwɛ́;mjá / mìmjá ;mjɛ́ɡ / mə̀mjɛ́ɡ ;mjɛ́ʔ / òmjɛ́ʔ ; ; ; ; ; ; ; ; ;;bouton ('pimple');kùlì / bekùlì;
96. ;barrer ;°là ;là;;ɛ̀-là ;;è-là ;là ;à-là ; ; ; ; ; ; ;;flèche;lekwǎ̰ / makwǎ̰;
97. ;bâton ;°ɡasE ;ŋ̀-kásè / mìŋkásè;; ; ;nɡáhá / mìnɡáhá ;n-ɡásə́ / mìnɡásə́;n-kwàɛ̀ ; ;n-kás ; ; ; ; ;;trahir;kwâ̰;
98. ;bâton de manioc ;°bɔ̀là ;ì-bwā / bìbwā;; ; ; ;bùbwòlè / ìbùbwòlè ; ; ;lè-bwôl ;bwàlà / bìbwàlà ; ; ; ;;tordre;kwádɔ;
99. ;battre ;°dàK ;;;ɛ̀-dà ; ;è-dàʔ ;d-àɡə̀lə́ / màɡə̀lə́; ; ; ; ; ; ; ;;gibecière;kwámɔ́ / makwámɔ́;
100. ;beaucoup 1 ;°bù ;və̀lə́;;ɛ̀-bù ;bù ;bù ;bùljà ;bùbùlìà ; ; ; ;*bùd ; ; ;;verre;lɛ́ / belɛ́;
101. ;beaucoup 2 ;°bùÒ ;vùvù;bvúbvù;ɛ̀-bwòpí ;bùbù ;bùòbùò ; ;à-bùɔ̀ ;bvubvu ;bùòbùò ; ;*bùd ; ; ;;offrir;lɛ̂;
